F_FacultyID,F_FirstName,F_LastName,F_YearsEmployed,F_DepartmentID,F_Title
76,Bradley,Mason,49,29,Instructor
77,Frederick,Brantley,23,77,Professor
78,Hilda,Sun,33,70,Professor
79,Gina,Cowan,35,4,Professor Emeritus
80,Neal,Ennis,11,81,Adjunct Professor
81,William,English,49,37,Assistant Professor
82,Jesse,Wyatt,30,10,Instructor
83,Darlene,Banks,24,29,Professor
84,Evan,Holloway,39,51,Professor Emeritus
85,Tonya,Dickson,34,18,Adjunct Professor
86,Roger,Ashley,20,28,Professor Emeritus
87,Marlene,Curry,21,4,Adjunct Professor
88,Lauren,Burnett,9,32,Adjunct Professor
89,Mary,Whitaker,46,76,Professor
90,Sara,Petty,9,61,Associate Professor
91,Edna,Dougherty,44,70,Instructor
92,Jennifer,Morgan,50,71,Adjunct Professor
93,Edwin,Boyle,49,30,Assistant Professor
94,Jessica,Bowers,26,70,Assistant Professor
95,Carla,Stokes,29,7,Assistant Professor
96,Carlos,Williford,41,56,Professor
97,Terry,Boyette,2,3,Associate Professor
98,Jacob,Conrad,22,36,Assistant Professor
99,Audrey,Pate,24,63,Professor Emeritus
100,Dana,Sanford,31,76,Assistant Professor
101,Gloria,Holloway,5,11,Adjunct Professor
102,Willie,Armstrong,40,72,Instructor
103,Robert,Boykin,19,44,Instructor
104,Martha,Joyce,2,9,Adjunct Professor
105,Denise,Mullins,33,1,Adjunct Professor
106,Evelyn,Simpson,22,55,Professor
107,Gayle,Sawyer,1,49,Associate Professor
108,Michael,Morton,7,81,Professor Emeritus
109,Leo,Conway,32,55,Professor Emeritus
110,Melvin,Adcock,5,22,Associate Professor
111,Albert,Cochran,36,80,Assistant Professor
112,David,McNamara,13,46,Associate Professor
113,Roberta,Shapiro,8,11,Professor Emeritus
114,Kay,Paul,43,28,Professor
115,Carl,O'Brien,16,40,Assistant Professor
116,Doris,Walker,32,3,Adjunct Professor
117,Louis,O'Connor,43,57,Assistant Professor
118,Sherry,Armstrong,28,8,Assistant Professor
119,Stacey,Farmer,23,49,Professor Emeritus
120,Alice,Dyer,19,31,Instructor
121,Neil,Marshall,16,43,Instructor
122,Don,Thompson,2,40,Associate Professor
123,Andrea,Byers,19,4,Associate Professor
124,Neal,Arnold,1,81,Assistant Professor
125,Glen,Morgan,8,54,Assistant Professor
126,Katharine,Orr,24,27,Professor
127,Jeff,Hawkins,27,28,Professor
128,Timothy,Marks,30,4,Assistant Professor
129,Regina,Washington,40,54,Professor Emeritus
130,Erika,Langley,19,2,Associate Professor
131,Carolyn,Yang,43,62,Professor Emeritus
132,Matthew,Massey,18,63,Professor
133,Linda,Weiner,45,8,Associate Professor
134,Matthew,Fink,14,45,Associate Professor
135,Pam,Pittman,9,13,Assistant Professor
136,Lois,Abrams,23,62,Professor Emeritus
137,Kent,Tyler,47,41,Adjunct Professor
138,Robin,Fitzpatrick,48,17,Professor Emeritus
139,Leonard,Stallings,15,5,Professor
140,Courtney,Chapman,50,69,Instructor
141,Claude,Peterson,32,35,Professor Emeritus
142,Hugh,Leach,33,12,Professor Emeritus
143,Billy,Dixon,5,43,Assistant Professor
144,Michelle,Gates,20,81,Associate Professor
145,Anne,Vaughn,5,74,Professor Emeritus
146,Penny,Winstead,44,57,Assistant Professor
147,Eric,Potter,5,8,Assistant Professor
148,Franklin,Swanson,46,47,Associate Professor
149,Betty,Sellers,46,47,Adjunct Professor
150,Sylvia,Carpenter,34,80,Assistant Professor
151,Frances,Peck,36,52,Associate Professor
152,Raymond,Rosenberg,45,29,Professor
153,Rose,Dean,16,3,Professor Emeritus
154,Ann,Coley,32,18,Professor
155,Tom,Harvey,42,56,Assistant Professor
156,Dwight,Richmond,37,13,Professor
157,Jose,Palmer,42,28,Instructor
158,Lloyd,Lindsay,19,30,Assistant Professor
159,Lauren,White,14,76,Assistant Professor
160,Caroline,Branch,41,34,Professor
161,Carole,Lucas,10,49,Professor Emeritus
162,Emma,Hill,50,55,Adjunct Professor
163,Alan,Lynch,44,34,Professor Emeritus
164,Beth,Roach,15,63,Professor Emeritus
165,Ron,Evans,7,56,Professor Emeritus
166,Jack,Byers,34,56,Associate Professor
167,Diana,Michael,20,20,Adjunct Professor
168,Cynthia,Kumar,21,45,Instructor
169,Lynn,Frank,18,52,Professor Emeritus
170,Marshall,Marks,49,23,Instructor
171,Joann,Spivey,40,22,Instructor
172,Kim,Cook,42,51,Assistant Professor
173,Rebecca,Schwartz,21,71,Adjunct Professor
174,Pat,Joseph,22,12,Instructor
175,George,Whitaker,12,10,Adjunct Professor
176,Ruth,Bridges,7,46,Instructor
177,Ken,Becker,27,82,Professor Emeritus
178,Alfred,Sanders,45,11,Instructor
179,Andrea,Briggs,22,80,Assistant Professor
180,Kathleen,Curry,33,78,Professor Emeritus
181,Ryan,Clarke,44,8,Assistant Professor
182,Dennis,Walsh,2,56,Associate Professor
183,Ryan,Kane,30,45,Associate Professor
184,Marvin,Heath,39,35,Assistant Professor
185,Dawn,Diaz,34,73,Associate Professor
186,Pauline,Caldwell,2,16,Assistant Professor
187,Francis,Epstein,45,14,Adjunct Professor
188,Karen,Williams,49,65,Professor
189,Danny,Dawson,29,6,Professor Emeritus
190,Dolores,English,8,31,Instructor
191,Harriet,Patrick,14,50,Instructor
192,Gretchen,Stroud,50,53,Professor Emeritus
193,Pat,Shaffer,40,26,Assistant Professor
194,Sara,Hanson,48,63,Professor
195,Marvin,Sanders,50,57,Professor Emeritus
196,Rosemary,Teague,38,55,Assistant Professor
197,Dale,Crane,26,1,Professor
198,Maxine,Stephenson,28,20,Adjunct Professor
199,Mitchell,Swanson,45,36,Adjunct Professor
200,Pat,Bowen,17,67,Adjunct Professor
201,Colleen,Stevenson,15,7,Instructor
202,Julia,Yang,24,1,Associate Professor
203,Gerald,Sellers,2,64,Professor
204,Wendy,Strickland,3,34,Professor
205,Leroy,Gunter,19,46,Adjunct Professor
206,Geoffrey,Allison,5,62,Associate Professor
207,Carmen,Pollard,26,12,Adjunct Professor
208,Don,Newell,34,2,Professor Emeritus
209,Susan,Horner,25,61,Assistant Professor
210,Claudia,Farmer,40,29,Associate Professor
211,Howard,Blair,22,18,Instructor
212,Curtis,Conrad,5,20,Assistant Professor
213,Bryan,Wrenn,21,70,Associate Professor
214,Geoffrey,Browning,10,3,Professor Emeritus
215,Kate,Freeman,37,38,Associate Professor
216,Oscar,Chen,30,69,Instructor
217,Judith,Gilliam,50,6,Instructor
218,Maurice,Glass,25,24,Professor
219,Tonya,Nichols,16,42,Assistant Professor
220,Ruth,O'Donnell,32,15,Associate Professor
221,Constance,Hirsch,1,7,Professor Emeritus
222,Johnny,White,5,7,Instructor
223,Daniel,Barr,18,3,Associate Professor
224,Lucy,Maxwell,5,47,Professor
225,Gary,Pugh,32,40,Instructor
226,Shelley,Moran,47,42,Assistant Professor
227,Gail,Jackson,21,6,Professor
228,Gary,Shea,6,67,Professor Emeritus
229,Megan,Mueller,42,22,Associate Professor
230,Jeanette,Wilkinson,50,22,Associate Professor
231,Julie,Morris,44,41,Assistant Professor
232,Clarence,McLamb,11,65,Professor
233,Paul,Greer,43,58,Instructor
234,Cathy,Bowen,47,16,Instructor
235,Melanie,Cooper,48,2,Assistant Professor
236,Alexander,Link,42,61,Assistant Professor
237,Jon,Kirkland,43,9,Instructor
238,Brooke,Austin,34,8,Professor Emeritus
239,Marie,McGee,41,64,Associate Professor
240,Stacey,Garner,30,17,Professor
241,Dale,Bauer,27,17,Associate Professor
242,Charlene,Love,13,22,Professor Emeritus
243,Constance,Robinson,20,83,Assistant Professor
244,Teresa,Dodson,35,14,Associate Professor
245,Edward,Covington,49,60,Instructor
246,Anne,Hudson,44,55,Adjunct Professor
247,Leonard,Parrott,7,68,Professor Emeritus
248,Lois,McGuire,40,79,Instructor
249,Edith,Gillespie,24,64,Associate Professor
250,Constance,Xu,7,14,Assistant Professor
251,Jeff,Sherrill,44,64,Assistant Professor
252,Eileen,Faircloth,6,56,Professor
253,Sue,Peterson,15,81,Adjunct Professor
254,Shannon,Wood,25,28,Adjunct Professor
255,Laurie,Hubbard,17,56,Assistant Professor
256,David,McLean,5,34,Assistant Professor
257,Linda,Brooks,19,51,Professor Emeritus
258,Marshall,Barr,26,38,Associate Professor
259,Tracy,Burnett,7,41,Adjunct Professor
260,Bernice,Lindsey,34,30,Instructor
261,Carlos,Horowitz,1,43,Professor
262,Bernice,Kahn,43,42,Instructor
263,Leah,Crowell,23,37,Adjunct Professor
264,Margaret,Mayer,44,18,Adjunct Professor
265,Kristina,Gillespie,19,12,Instructor
266,Leigh,Gonzalez,25,60,Associate Professor
267,Christopher,Hutchinson,50,13,Instructor
268,Eva,Ray,24,37,Adjunct Professor
269,Steven,Donovan,44,45,Associate Professor
270,Michele,Walsh,48,54,Professor Emeritus
271,Timothy,Chapman,50,12,Adjunct Professor
272,Katharine,Hicks,35,34,Assistant Professor
273,Judy,Sharpe,29,46,Professor Emeritus
274,Christopher,Bradley,50,39,Adjunct Professor
275,Carmen,Andrews,35,81,Professor
276,Milton,Hernandez,19,68,Professor Emeritus
277,Stanley,Dillon,40,81,Professor
278,Juanita,Knight,24,71,Associate Professor
279,Stacy,Odom,34,12,Assistant Professor
280,Leon,Stafford,40,58,Instructor
281,Dorothy,Yates,4,21,Professor Emeritus
282,Linda,Benson,49,11,Professor
283,Johnny,McFarland,7,40,Professor
284,Ruby,Berry,20,10,Associate Professor
285,William,Clayton,47,42,Professor
286,Leroy,Newell,41,41,Professor
287,Eddie,Raynor,49,62,Instructor
288,Marilyn,Boyle,40,45,Assistant Professor
289,Katherine,Lam,34,26,Instructor
290,Cathy,Crews,2,78,Professor
291,Carole,Short,31,61,Associate Professor
292,Michael,Lanier,3,20,Associate Professor
293,Lauren,Benton,32,45,Professor Emeritus
294,Holly,Justice,27,74,Assistant Professor
295,Christian,Woodard,39,6,Professor
296,Erika,Hobbs,43,74,Assistant Professor
297,Pamela,Wise,18,60,Assistant Professor
298,Jimmy,Stevens,40,51,Professor Emeritus
299,Debbie,Wade,29,44,Assistant Professor
300,Teresa,Cho,17,26,Instructor
301,Randall,Murphy,5,64,Instructor
302,Peter,Benson,32,68,Assistant Professor
303,Janice,Fischer,14,75,Instructor
304,Jacqueline,Frye,12,50,Professor
305,Marcus,Livingston,35,15,Assistant Professor
306,Nina,Bean,12,63,Associate Professor
307,Monica,Mathews,15,57,Instructor
308,Gladys,Golden,5,19,Associate Professor
309,Beverly,Cooper,38,1,Professor
310,Christy,Warner,43,49,Assistant Professor
311,Herbert,King,20,50,Associate Professor
312,Juanita,Raynor,8,80,Professor Emeritus
313,Julian,Chandler,48,35,Professor
314,Thomas,Tilley,22,62,Instructor
315,Pauline,Deal,11,46,Professor
316,Glenda,Garrison,41,58,Professor
317,Josephine,Vincent,19,33,Assistant Professor
318,Angela,McFarland,50,23,Instructor
319,Maria,Raynor,45,5,Assistant Professor
320,Lester,Peacock,16,4,Adjunct Professor
321,Todd,Howe,23,43,Associate Professor
322,Ernest,Creech,26,62,Instructor
323,Terri,Martin,48,9,Instructor
324,Patsy,Dawson,10,59,Professor
325,Luis,Sweeney,37,50,Associate Professor
326,Regina,Manning,37,57,Professor Emeritus
327,Gretchen,Hirsch,40,63,Adjunct Professor
328,Cathy,Ivey,44,38,Instructor
329,Mike,Cross,44,41,Professor
330,Joyce,Hardin,50,5,Assistant Professor
331,Rose,Sanchez,1,56,Professor Emeritus
332,Jeremy,Gordon,26,14,Associate Professor
333,Greg,Baldwin,1,20,Professor
334,Harry,Pollock,12,61,Instructor
335,Marsha,Woodward,18,27,Adjunct Professor
336,Randy,Anderson,42,22,Adjunct Professor
337,Stephen,Jenkins,45,49,Adjunct Professor
338,Jonathan,Kay,20,39,Professor Emeritus
339,Michele,Pierce,28,29,Associate Professor
340,Kelly,O'Connor,13,21,Instructor
341,Mark,O'Neill,40,52,Professor
342,June,Hendrix,28,21,Associate Professor
343,Gladys,Burgess,10,21,Adjunct Professor
344,Michele,Grimes,47,62,Professor Emeritus
345,Lucy,Faulkner,11,72,Instructor
346,Rosemary,Brandt,26,34,Instructor
347,Troy,Caldwell,35,74,Associate Professor
348,Charlene,Garner,43,8,Professor
349,Benjamin,McLaughlin,38,10,Instructor
350,Leo,Love,3,26,Instructor
351,Heidi,Womble,9,76,Associate Professor
352,Aaron,Hahn,35,14,Professor Emeritus
353,Michelle,Richardson,9,56,Professor Emeritus
354,Dean,Farrell,45,24,Professor
355,Allan,Little,15,63,Associate Professor
356,Evan,Graves,15,14,Assistant Professor
357,Sally,Newell,48,29,Professor
358,Jane,Preston,29,38,Professor Emeritus
359,Julia,Alston,38,40,Professor Emeritus
360,Phillip,Forrest,42,17,Adjunct Professor
361,Christina,Aldridge,46,47,Adjunct Professor
362,Elisabeth,Larson,45,18,Assistant Professor
363,Nina,Houston,10,62,Instructor
364,Josephine,Collier,16,37,Associate Professor
365,Ruby,Graham,15,45,Instructor
366,Alice,Hunter,21,77,Instructor
367,Theodore,Case,18,47,Associate Professor
368,Marion,McDonald,45,81,Adjunct Professor
369,Gerald,Farrell,45,24,Adjunct Professor
370,Cindy,Harris,4,66,Instructor
371,Johnny,Pope,3,31,Professor Emeritus
372,Judith,Silver,3,52,Professor Emeritus
373,Christopher,Skinner,16,74,Professor Emeritus
374,Dawn,Barbour,2,9,Professor Emeritus
375,Christina,Blanchard,9,28,Assistant Professor
376,Norma,Cole,4,39,Adjunct Professor
377,Dawn,Grady,31,22,Assistant Professor
378,Lucille,Henderson,43,80,Assistant Professor
379,Sharon,Morrison,24,1,Professor Emeritus
380,Holly,Pitts,22,36,Associate Professor
381,Evan,Hendrix,7,58,Professor
382,Arnold,Benson,14,6,Associate Professor
383,Arlene,Foley,22,16,Adjunct Professor
384,Lester,Wood,6,53,Associate Professor
385,Holly,Hopkins,29,74,Professor Emeritus
386,Kara,Goldstein,34,26,Assistant Professor
387,Eva,Farrell,50,55,Assistant Professor
388,Alvin,Mullins,31,12,Professor Emeritus
389,Chad,Moon,23,64,Professor
390,Mildred,House,13,76,Associate Professor
391,Clara,Grossman,47,24,Assistant Professor
392,Cameron,Frazier,26,55,Associate Professor
393,Joan,Palmer,16,67,Instructor
394,Wesley,Hunter,20,27,Professor Emeritus
395,Jeanette,Weinstein,18,69,Instructor
396,Maurice,Nguyen,2,21,Associate Professor
397,Norman,Wallace,41,26,Adjunct Professor
398,Gwendolyn,Horner,48,43,Assistant Professor
399,Philip,French,11,36,Adjunct Professor
400,Dean,Lewis,25,25,Assistant Professor
401,Jon,Reese,43,12,Professor Emeritus
402,Jack,Horowitz,30,28,Professor Emeritus
403,Jacqueline,Lutz,31,59,Associate Professor
404,Howard,Lopez,14,81,Professor
405,Thelma,Harrell,19,37,Associate Professor
406,Earl,Song,9,57,Professor Emeritus
407,Tammy,Cobb,27,27,Professor Emeritus
408,Harvey,Boswell,9,38,Professor
409,Christopher,Terrell,29,74,Instructor
410,Aaron,Carpenter,12,53,Professor
411,Deborah,Holt,26,78,Professor
412,Rhonda,Ward,19,71,Professor
413,Meredith,Holden,50,40,Assistant Professor
414,Tina,O'Brien,10,36,Professor Emeritus
415,Jessie,Mann,15,68,Professor
416,Larry,Han,36,13,Professor
417,Paul,Stafford,14,19,Instructor
418,Robin,Griffin,35,70,Instructor
419,Jim,Gallagher,50,46,Instructor
420,Shawn,Daly,24,5,Professor Emeritus
421,Sherri,Walter,46,45,Adjunct Professor
422,Billy,Barrett,50,51,Instructor
423,Diane,Meyers,44,76,Associate Professor
424,Elisabeth,Jacobson,32,5,Assistant Professor
425,Faye,Thomas,42,42,Associate Professor
426,Mary,Barnes,32,42,Instructor
427,Jack,Dyer,44,39,Associate Professor
428,Cathy,French,33,19,Professor Emeritus
429,Neil,Schaefer,50,58,Professor
430,Holly,Choi,37,17,Instructor
431,Beth,Odom,6,34,Professor Emeritus
432,Susan,Peacock,10,83,Professor
433,Melinda,Hayes,1,44,Professor Emeritus
434,Debbie,Kerr,35,37,Instructor
435,Ray,Cook,43,45,Professor
436,Joy,Pearce,13,67,Associate Professor
437,Joyce,Wilkinson,6,75,Instructor
438,Patsy,Wells,21,51,Instructor
439,Bryan,Kessler,16,80,Adjunct Professor
440,Clyde,Cash,48,22,Instructor
441,Suzanne,Burton,7,10,Professor
442,Bobby,Grimes,20,62,Professor
443,Hugh,Bradley,17,7,Professor
444,Todd,Bradford,1,75,Adjunct Professor
445,Warren,Coble,6,65,Professor
446,Arthur,Curry,40,59,Instructor
447,Michele,Britt,45,26,Assistant Professor
448,Leroy,Wooten,27,19,Assistant Professor
449,Ryan,Odom,22,19,Instructor
450,Lisa,Schwarz,24,17,Associate Professor
451,Natalie,Cummings,39,72,Associate Professor
452,Virginia,Chan,50,28,Professor Emeritus
453,Allison,Pearson,47,6,Associate Professor
454,Doris,Riggs,11,78,Professor Emeritus
455,Nelson,Rice,4,62,Professor
456,Robin,Kelley,17,18,Adjunct Professor
457,Priscilla,Dale,7,33,Professor
458,Kristen,Johnson,1,9,Professor
459,Gail,Hurst,46,29,Professor
460,Samuel,Combs,31,39,Professor Emeritus
461,Annette,Forrest,12,68,Assistant Professor
462,Ron,Elliott,22,78,Instructor
463,Stuart,Glenn,30,16,Professor Emeritus
464,Shannon,Ingram,47,68,Professor
465,Derek,Kent,46,14,Instructor
466,Leo,Payne,13,58,Professor Emeritus
467,Norma,Daniels,50,27,Associate Professor
468,Lee,Capps,25,11,Instructor
469,Lee,Carter,26,53,Associate Professor
470,Randy,Franklin,15,2,Professor Emeritus
471,Alexander,Marcus,23,2,Professor
472,Thomas,Cheek,48,54,Professor
473,Earl,Miles,20,1,Associate Professor
474,Kelly,Stewart,16,68,Instructor
475,Bruce,Cooper,9,3,Professor Emeritus
476,Leonard,Bean,46,41,Instructor
477,Rick,George,19,60,Adjunct Professor
478,Stanley,Kenney,15,27,Instructor
479,Carrie,Norris,5,36,Assistant Professor
480,Theodore,Honeycutt,34,5,Associate Professor
481,Margaret,Hensley,18,25,Assistant Professor
482,Vernon,Richards,6,44,Adjunct Professor
483,Shelley,Wilkerson,10,54,Adjunct Professor
484,Marcus,Kendall,12,12,Associate Professor
485,Elsie,Riddle,5,35,Instructor
486,Peter,Zhu,47,11,Adjunct Professor
487,Gene,Daly,35,54,Associate Professor
488,Nancy,Austin,33,26,Associate Professor
489,Joanne,Adkins,24,28,Assistant Professor
490,Timothy,Morgan,16,20,Assistant Professor
491,Rhonda,Patterson,41,62,Professor Emeritus
492,Theodore,Harvey,23,20,Assistant Professor
493,Norma,Schmidt,37,49,Assistant Professor
494,Debbie,Dickens,4,19,Instructor
495,Douglas,Frederick,26,75,Assistant Professor
496,Gregory,Newton,49,52,Associate Professor
497,Shawn,Moran,50,43,Assistant Professor
498,Kay,Shepherd,35,52,Professor
499,Neal,Horne,26,29,Assistant Professor
500,Dianne,Nelson,10,49,Instructor
501,Arnold,Harper,7,18,Instructor
502,Colleen,Bean,44,30,Professor Emeritus
503,Becky,Savage,17,7,Adjunct Professor
504,Lindsay,Beatty,35,26,Assistant Professor
505,Christian,Frye,21,7,Instructor
506,Amanda,Parks,42,26,Professor
507,Terri,Greenberg,34,75,Instructor
508,Hazel,Bell,28,30,Adjunct Professor
509,Julie,English,41,7,Instructor
510,Rose,Owen,10,79,Instructor
511,Gary,Day,28,5,Adjunct Professor
512,Eugene,Miles,11,76,Professor
513,Pam,Lin,29,71,Professor
514,Louis,Ivey,39,39,Instructor
515,Tonya,Moon,11,46,Associate Professor
516,Emma,Copeland,15,57,Associate Professor
517,Jessie,Conner,20,62,Adjunct Professor
518,Maureen,Harvey,5,32,Professor Emeritus
519,Ernest,Robbins,8,76,Assistant Professor
520,Alfred,Gregory,20,25,Assistant Professor
521,Oscar,Neal,5,71,Professor
522,Dianne,Barbour,3,45,Professor Emeritus
523,Patricia,Miller,4,3,Assistant Professor
524,April,Kinney,15,28,Professor
525,Patsy,Aycock,21,25,Associate Professor
526,Beverly,Davidson,47,16,Assistant Professor
527,Aaron,Logan,3,81,Professor Emeritus
528,Sidney,Coble,39,7,Associate Professor
529,Pam,Long,42,60,Associate Professor
530,Colleen,Mullins,3,2,Professor
531,Natalie,Chambers,41,69,Associate Professor
532,Kathy,Conrad,17,21,Professor
533,Clarence,Boyd,9,39,Professor
534,Steven,Underwood,30,23,Professor
535,Ricky,Beach,42,26,Professor Emeritus
536,Vernon,Graves,44,20,Instructor
537,Holly,Justice,8,76,Adjunct Professor
538,Henry,Mercer,50,79,Associate Professor
539,Sam,Stephens,18,65,Professor Emeritus
540,Kay,Banks,9,13,Professor Emeritus
541,Joanna,Currie,45,63,Professor Emeritus
542,Sharon,Marsh,7,70,Professor Emeritus
543,Pauline,Holden,50,64,Associate Professor
544,Betsy,Cummings,47,11,Adjunct Professor
545,Lindsay,Duke,36,12,Professor
546,Andrea,Kirby,6,48,Professor Emeritus
547,Alvin,Benson,1,14,Professor
548,Edna,Grady,16,24,Professor
549,Robin,McCoy,2,15,Instructor
550,Leroy,Barry,44,71,Assistant Professor
551,Kara,Kumar,44,29,Professor
552,Marcus,House,25,61,Professor Emeritus
553,Bernice,Noble,30,82,Adjunct Professor
554,Diane,Gardner,49,22,Adjunct Professor
555,Brooke,Adkins,38,17,Professor
556,Jacqueline,Hsu,33,71,Adjunct Professor
557,Philip,Shields,41,20,Associate Professor
558,Louis,Lu,46,19,Assistant Professor
559,Alexandra,O'Neill,22,48,Assistant Professor
560,Sarah,Heath,23,49,Professor
561,Vickie,Donnelly,23,74,Adjunct Professor
562,Joanne,Moran,24,59,Professor Emeritus
563,Heather,Mullen,2,16,Adjunct Professor
564,Penny,Camp,22,30,Adjunct Professor
565,Theodore,Robertson,48,6,Assistant Professor
566,Carrie,Brennan,21,65,Professor
567,Jeffrey,Baldwin,21,66,Adjunct Professor
568,Bob,Kent,12,83,Professor Emeritus
569,Tamara,Katz,9,37,Adjunct Professor
570,Joan,Hubbard,20,47,Associate Professor
571,Christina,Casey,11,41,Professor
572,Nancy,Glover,18,3,Instructor
573,Matthew,Justice,39,70,Assistant Professor
574,Tim,Sumner,43,57,Assistant Professor
575,George,Brewer,43,76,Professor Emeritus
576,Melanie,Berry,45,5,Associate Professor
577,Rachel,Beasley,4,41,Adjunct Professor
578,Renee,Simmons,39,25,Professor Emeritus
579,Vanessa,Sullivan,30,71,Professor Emeritus
580,Greg,Alford,9,73,Adjunct Professor
581,Neil,Beasley,39,34,Adjunct Professor
582,Bob,Christensen,34,2,Instructor
583,Justin,Braun,3,3,Associate Professor
584,Audrey,Faircloth,6,28,Associate Professor
585,Priscilla,Drake,48,75,Assistant Professor
586,Jeffrey,Wolf,27,75,Professor Emeritus
587,Seth,Britt,1,10,Instructor
588,Kerry,Saunders,49,13,Instructor
589,Cecil,Stevens,46,52,Professor
590,Colleen,Bland,8,24,Professor Emeritus
591,James,Robbins,34,35,Professor
592,Maureen,Bullock,1,56,Professor
593,Samantha,Siegel,15,6,Professor
594,Carmen,Ford,19,22,Associate Professor
595,Melinda,Lang,42,64,Professor
596,Laurence,Garcia,22,15,Adjunct Professor
597,Ricky,Foster,6,81,Adjunct Professor
598,Theresa,Perry,47,62,Professor
599,Thomas,Giles,41,72,Professor
600,Stacy,Ivey,24,29,Professor Emeritus
601,Francis,Coleman,35,57,Professor
602,Jean,Spencer,34,77,Instructor
603,Valerie,Bond,48,69,Professor Emeritus
604,Jason,Watts,6,51,Assistant Professor
605,Paul,Ball,13,70,Assistant Professor
606,Leroy,Simpson,1,77,Professor Emeritus
607,George,Glass,2,38,Instructor
608,Harriet,Page,49,80,Associate Professor
609,Geraldine,Woodard,31,57,Adjunct Professor
610,Jesse,Sherman,32,76,Professor
611,Brooke,Sutherland,30,64,Professor Emeritus
612,Rodney,Lamb,2,52,Professor Emeritus
613,Debra,Baldwin,3,81,Instructor
614,Clifford,Marshall,18,80,Professor Emeritus
615,Diana,Denton,41,83,Professor Emeritus
616,Christian,Finch,33,72,Adjunct Professor
617,Warren,McLean,33,49,Instructor
618,Lewis,Pollock,19,8,Instructor
619,Derek,Dale,43,65,Instructor
620,Hilda,Fitzgerald,5,57,Instructor
621,Ernest,Lester,41,2,Instructor
622,Elizabeth,McNamara,30,42,Adjunct Professor
623,Wendy,Eaton,26,2,Professor
