S_StudentID,S_FirstName,S_LastName,S_Year,S_GPA,S_MajorID,S_AdvisorID
159,Sylvia,Turner,So,2.52,50,21270
160,Emma,Harmon,Jr,2.89,10,5640
161,Suzanne,Wang,Fr,4.00,35,8891
162,Melanie,West,Jr,2.58,14,13778
163,Greg,Clayton,Jr,1.69,48,22642
164,Lloyd,Whitaker,Fr,0.67,72,21777
165,Helen,Levine,So,0.79,53,5309
166,Edna,Zhou,So,2.01,64,775
167,Tim,Oliver,So,3.83,81,23413
168,Brent,Wrenn,Sr,0.22,72,17440
169,Pat,Langley,Fr,3.63,16,1355
170,Albert,Hart,Jr,0.63,75,11853
171,Wanda,Sloan,Jr,2.16,82,15155
172,Wayne,Barbour,Fr,0.92,4,24791
173,Connie,Wu,Fr,0.72,11,18860
174,Gregory,Mullen,Fr,3.71,10,21591
175,Diane,Goldstein,Sr,1.62,80,18070
176,Dean,Greenberg,Sr,0.39,31,14301
177,Gerald,Nicholson,Sr,1.05,43,6033
178,Craig,Cheek,Fr,1.70,33,13413
179,Lisa,Hubbard,Jr,2.50,51,12845
180,Ashley,Williford,Sr,1.84,54,22327
181,Meredith,Ferrell,Jr,3.94,12,20153
182,Monica,Lawson,Sr,2.65,20,9632
183,Stephen,Wells,Jr,0.34,56,1878
184,Alexandra,Wilcox,Fr,0.69,37,15156
185,Brett,Nguyen,Jr,3.72,5,23824
186,Julian,Gallagher,Jr,3.62,27,18246
187,Cindy,Barr,Fr,2.76,5,9101
188,Shirley,Hughes,Fr,2.90,47,17660
189,Jose,Burns,Sr,1.84,22,16552
190,Victoria,Mullins,Sr,3.82,64,19305
191,Edgar,Thomas,So,1.93,42,13968
192,Kimberly,Paul,Sr,3.75,14,13132
193,Katie,Lowe,Fr,2.88,78,1184
194,Heidi,Joyner,So,3.34,1,63
195,Donald,Woodard,Jr,1.27,75,18142
196,Kate,Baird,Jr,3.06,34,18486
197,Evelyn,Payne,Fr,1.63,39,6899
198,Dennis,Perez,Fr,2.11,65,11642
199,Charles,Watson,Sr,1.09,65,3790
200,Carla,Thornton,Fr,3.11,64,2494
201,Evelyn,Herndon,Jr,0.39,4,24614
202,Jay,Boyer,Sr,1.81,75,7830
203,Wanda,Logan,Jr,3.55,49,18025
204,Danny,Hirsch,Jr,3.74,80,4970
205,Chad,Kane,So,0.95,72,7588
206,Eva,Booth,Jr,1.43,47,7340
207,Stacy,Allison,So,1.87,7,6350
208,Kim,Rice,Sr,3.23,8,24134
209,Eva,Buckley,Fr,1.55,83,6520
210,Carrie,Parsons,So,2.19,48,16260
211,Samuel,Phillips,Sr,3.34,68,8706
212,Pam,Myers,So,2.88,10,24316
213,Wade,Bowen,Jr,0.38,44,16488
214,Hugh,Lewis,Sr,3.05,35,10206
215,Susan,Kinney,So,2.93,60,23404
216,Leonard,Hale,Fr,1.62,58,2444
217,Leigh,Teague,Sr,0.83,44,7701
218,Darlene,Welch,Jr,3.54,71,17590
219,Lewis,Henson,Fr,3.08,61,13037
220,Jesse,Yu,Jr,0.81,27,15922
221,Audrey,Freeman,Fr,1.34,47,24124
222,Robert,Carter,So,3.10,9,8932
223,Christine,Chen,Jr,1.96,74,17070
224,Norman,Moody,Fr,0.02,54,23570
225,Ryan,Bowles,Fr,1.44,61,5341
226,Maria,Bauer,Fr,0.79,44,6528
227,Julian,Kane,Jr,2.14,38,12125
228,Stacy,Glass,So,3.16,39,6795
229,Ross,Watts,Jr,3.99,67,7438
230,Geraldine,Russell,So,3.29,72,1514
231,Molly,Joyce,So,1.39,60,2347
232,Billy,Case,Jr,0.27,5,11422
233,Laura,Honeycutt,Fr,0.46,27,20357
234,Brad,Shapiro,So,0.04,37,18112
235,Holly,Mathews,Fr,3.75,42,20217
236,Arnold,Kidd,So,0.14,75,21268
237,Catherine,Erickson,Fr,2.33,38,19651
238,Joan,Braswell,Jr,0.96,9,13954
239,Maureen,Malone,Fr,1.77,41,14938
240,Ross,Joyner,So,2.93,39,20084
241,Kurt,Stern,Fr,1.36,27,22940
242,Renee,Pridgen,So,2.52,53,5165
243,Brian,Floyd,Jr,3.66,31,16340
244,Esther,James,Sr,1.48,70,11080
245,Willie,Knowles,So,3.32,26,14562
246,Philip,Buck,So,3.44,21,15495
247,Constance,Wyatt,Jr,2.44,40,15188
248,Elsie,Armstrong,Jr,0.99,30,1321
249,Gregory,Kearney,Jr,2.96,79,11464
250,Ray,Hunt,So,0.99,39,6143
251,Leon,Lawrence,Fr,3.98,22,7854
252,Wayne,Stokes,Sr,3.13,32,15517
253,Meredith,Barbee,Sr,1.33,50,22554
254,Jennifer,Spencer,Jr,0.50,35,18108
255,Jason,High,Fr,1.26,67,17335
256,Evelyn,Hammond,Fr,1.16,25,6764
257,Elizabeth,Heath,So,1.01,38,10186
258,Natalie,Freedman,Jr,2.80,40,23350
259,Patsy,Walton,Jr,3.66,30,8586
260,Dennis,Prince,So,2.30,72,12893
261,Amanda,High,So,1.96,30,21367
262,Veronica,Benson,Fr,2.27,58,23848
263,Erin,Harris,Fr,3.01,32,10630
264,Lynda,Frost,Fr,1.45,73,5776
265,Robert,Burton,Sr,1.95,17,6519
266,Mary,Oakley,Sr,2.63,54,16909
267,Irene,Sherrill,Jr,2.08,68,23433
268,Crystal,Galloway,Fr,3.85,16,3597
269,Marguerite,Glenn,So,1.17,34,19466
270,Joann,Grant,So,2.03,73,4188
271,Jesse,Wall,So,3.42,70,23880
272,Harriet,Stein,Jr,3.63,12,17136
273,Robert,Kern,Fr,2.12,1,4164
274,David,Oliver,Jr,2.91,58,1235
275,Stanley,Craig,So,2.95,15,340
276,Christopher,Pitts,Sr,2.76,77,16383
277,Jeanne,Chappell,So,0.12,9,16952
278,Mike,Lamb,So,1.00,29,9814
279,Ted,Blackburn,Sr,3.47,66,15465
280,Elsie,Beck,Sr,2.24,47,15741
281,Martin,Britt,Fr,0.82,15,8794
282,Ruth,Stuart,Jr,1.97,11,7372
283,Juanita,Newell,Sr,2.01,80,23568
284,Rosemary,Wells,Fr,2.58,9,22434
285,Jon,McLeod,Sr,0.93,72,10524
286,Juan,Barrett,Fr,1.41,10,17336
287,Gene,Moon,Fr,0.26,78,340
288,Tommy,Ferguson,Fr,1.58,38,2053
289,Arnold,Cooper,So,0.27,50,19541
290,Gloria,Curtis,Jr,3.70,2,8879
291,Randall,Stuart,Fr,0.22,14,11521
292,Leigh,Kendall,Fr,1.83,29,12268
293,Cheryl,Reeves,Jr,2.09,77,17554
294,Sherry,Alford,Fr,1.69,68,21199
295,Derek,Beck,So,0.55,37,14504
296,Kathy,Weber,Fr,3.97,13,18824
297,Katie,Snow,Sr,0.56,79,18013
298,Joann,Winters,Jr,0.82,76,3135
299,Colleen,Teague,Jr,2.14,29,16639
300,Philip,Riley,Jr,0.62,46,16485
301,Nicole,Abbott,Fr,0.01,77,13924
302,Vickie,Ramsey,Sr,1.05,75,6953
303,Sara,Medlin,Jr,3.18,52,22526
304,Joel,Watkins,So,2.15,64,9561
305,Randy,Stafford,So,2.21,59,13749
306,Ian,Howard,So,0.05,14,1833
307,James,Logan,Sr,3.69,17,1128
308,Raymond,McCall,Jr,1.75,45,23342
309,Rita,Johnson,Sr,1.90,76,14902
310,Herman,Abbott,So,3.00,6,733
311,Valerie,Archer,So,3.49,2,15458
312,Elisabeth,Burch,Jr,1.70,74,1170
313,Tonya,Evans,Fr,1.86,69,10019
314,Sally,Hartman,Sr,1.08,27,11755
315,Robyn,Cochran,Fr,3.89,45,8022
316,Rodney,Hoyle,Sr,1.26,36,14635
317,Ralph,Kim,Sr,1.92,71,23143
318,Eddie,Walton,Fr,3.43,6,1555
319,Melissa,Riley,Jr,1.09,8,35
320,Melanie,Kinney,Fr,3.46,48,13645
321,Patsy,Jones,Jr,1.36,37,1926
322,Marion,Bates,Fr,3.31,37,5297
323,Ralph,Hood,Jr,3.90,48,20513
324,Robyn,Lucas,Fr,1.58,34,7429
325,Wanda,Adler,Jr,3.40,39,12798
326,Jonathan,Davis,So,1.24,54,24783
327,Robyn,Peele,Sr,3.54,51,6418
328,Andrea,Dennis,Fr,1.11,56,21351
329,Ross,Brewer,So,2.42,52,10165
330,Rodney,White,Jr,3.91,35,21411
331,Elizabeth,Whitley,Sr,3.82,49,917
332,Jerome,Newell,Sr,3.02,67,7807
333,Arnold,Myers,Fr,1.67,21,15266
334,Julie,Tilley,Sr,1.37,56,9135
335,Tracy,Long,Sr,0.61,54,17698
336,Cheryl,Ennis,Sr,2.09,47,2987
337,Jerome,Weinstein,So,2.94,41,20137
338,Claudia,Lang,Jr,2.97,21,20368
339,Carl,Roy,Sr,3.51,58,1096
340,Wendy,Odom,Jr,1.26,35,18631
341,Mark,Rosenberg,So,3.35,17,21162
342,Thelma,Frost,Fr,1.52,10,6136
343,Gregory,Wise,Fr,0.62,4,10901
344,Phyllis,Beach,Fr,2.29,24,19115
345,Allison,Ennis,Jr,2.34,36,11626
346,Tonya,Wilcox,Sr,1.52,6,2950
347,Lucy,McLean,Jr,2.30,80,12800
348,Bill,Stewart,So,1.90,15,18800
349,Rose,Ramsey,Jr,1.85,79,3767
350,Monica,Day,So,2.72,5,10777
351,Chris,Richards,Sr,2.91,41,9685
352,Miriam,High,Jr,0.51,45,4782
353,Kevin,Weeks,So,3.59,76,1265
354,Jimmy,Dougherty,So,1.78,70,15770
355,Gloria,Massey,So,0.73,44,1143
356,Heather,Huff,Sr,2.50,36,7266
357,Joe,Wilkerson,Fr,3.03,23,13559
358,Norman,Hirsch,Fr,0.15,79,20039
359,Nina,Morrow,Sr,0.70,72,8431
360,Margaret,Paul,Sr,3.14,41,23496
361,Vivian,Holloway,Sr,0.93,65,10030
362,Michael,Kenney,Jr,3.14,47,8008
363,Heidi,Osborne,Jr,0.57,51,5097
364,Gary,Sutton,Jr,3.96,26,3070
365,Carolyn,Page,Jr,0.09,44,19370
366,Claude,Greenberg,Sr,2.15,31,9296
367,Wendy,Pitts,Fr,2.11,51,12252
368,Larry,Weiner,So,2.27,82,3194
369,Samantha,House,So,0.07,38,1395
370,Faye,Spence,Sr,3.85,54,12796
371,Allan,Olson,Fr,1.74,83,8883
372,Carole,Stafford,Sr,1.67,32,12506
373,Claire,Cassidy,Fr,0.91,41,23791
374,Stanley,Cameron,Sr,2.02,61,24094
375,Irene,Hong,Sr,3.89,43,12652
376,Lee,Garrison,Fr,3.57,15,276
377,Jim,Terry,Fr,3.50,40,3843
378,Ruby,Sawyer,Sr,3.73,31,19665
379,Joel,Spears,Fr,0.41,74,3543
380,Jordan,Fitzgerald,Jr,2.29,11,3259
381,Justin,Bullard,Jr,1.57,79,18295
382,Ann,Strauss,Sr,0.72,19,18254
383,Andrea,Cook,Fr,3.68,8,7720
384,Hugh,Mason,Jr,1.87,56,4730
385,Emma,Orr,Jr,3.09,47,13859
386,Brandon,Weiss,So,1.31,13,23514
387,Vanessa,Braswell,So,0.79,25,659
388,Louis,Choi,Fr,0.08,71,17054
389,Lorraine,McLamb,Fr,3.09,42,16303
390,Evelyn,Buck,Jr,1.07,48,22087
391,Anna,Heller,So,3.02,14,13752
392,Leah,Carlson,Sr,2.01,14,1393
393,Annie,Garrett,Fr,2.88,33,23382
394,Danny,Hess,Sr,3.19,59,24952
395,Ian,Sanders,Fr,3.83,46,1515
396,Louise,Porter,Jr,0.95,11,23130
397,Kent,Randall,Jr,3.27,66,23079
398,Toni,Stroud,So,1.85,49,24187
399,Marcus,Holmes,Jr,0.49,51,9640
400,Joann,Farmer,So,2.86,58,15056
401,Doris,Barr,So,1.56,25,11247
402,Chad,Lee,Fr,1.90,43,24951
403,Meredith,Underwood,So,2.43,5,10057
404,Maurice,Duncan,Jr,1.10,17,8459
405,Stephanie,Drake,Jr,0.17,42,24282
406,Erik,Hart,Jr,2.64,10,24764
407,Gerald,Burgess,Sr,3.78,43,9971
408,Arlene,Riggs,Sr,0.18,50,10013
409,Crystal,Dickerson,So,2.38,47,3980
410,Larry,Zimmerman,Sr,1.25,27,14996
411,Alicia,Robbins,Jr,2.44,71,20712
412,Bill,Crews,So,0.97,81,21633
413,Seth,Feldman,Jr,3.64,83,3442
414,Lester,Becker,Sr,0.36,25,21895
415,Jean,McGuire,So,1.16,43,3338
416,Diana,Albright,So,3.81,62,2999
417,Judith,Prince,Sr,2.24,26,16036
418,Andrea,Puckett,Fr,2.26,45,5710
419,Tara,Jenkins,Jr,0.81,63,6072
420,Miriam,Hanson,Fr,3.45,79,11990
421,Tammy,Hall,Jr,2.42,32,13971
422,Anita,Dillon,Jr,0.39,4,21019
423,Renee,Bush,So,0.89,47,9285
424,David,Briggs,Fr,3.99,13,13925
425,Rita,Brennan,Fr,3.63,13,2848
426,Phyllis,Sumner,Sr,2.41,22,7258
427,Troy,Weinstein,So,0.90,37,11300
428,James,Barrett,Fr,0.51,3,22785
429,Tara,Newton,Jr,3.93,57,3869
430,Scott,McIntyre,Sr,2.64,77,8254
431,Joyce,Nixon,So,3.10,25,4270
432,Ross,Scott,Jr,3.01,55,18233
433,Jeanne,Dale,Fr,0.30,81,414
434,Nathan,McIntosh,Jr,1.45,23,1251
435,Sidney,Hogan,Sr,2.48,38,8805
436,Scott,Reilly,Jr,2.49,32,13194
437,Penny,Dalton,Jr,2.60,44,1851
438,Jon,Tilley,So,1.89,42,5149
439,Stuart,Flynn,Jr,3.70,48,3955
440,Lee,Perez,So,2.12,38,2471
441,Gregory,Klein,Fr,2.65,75,16441
442,John,Bland,Sr,3.42,64,15817
443,Donna,Hawkins,Sr,1.66,24,18060
444,Tiffany,Heath,Fr,1.33,44,9968
445,Stephen,Baxter,Sr,0.95,8,21677
446,Alan,Riley,Jr,2.45,39,3243
447,Milton,Garrett,Jr,0.99,15,7494
448,Jeremy,Bynum,Jr,2.03,13,16510
449,Andrea,Campbell,So,0.69,12,7650
450,Leo,Hendrix,Jr,0.59,48,10721
451,Andrea,Frederick,Sr,3.55,77,740
452,Lynda,Law,Sr,2.36,5,19258
453,Nancy,Ballard,So,3.04,80,7484
454,Julia,Crawford,Fr,1.01,45,8349
455,Katharine,Flynn,Sr,0.22,33,11150
456,Guy,Richmond,Sr,2.44,59,23222
457,Clyde,Sykes,So,0.71,20,4463
458,Karl,Reed,So,0.25,73,17062
459,Dianne,Cline,Sr,2.94,79,20960
460,Esther,Joyce,Jr,2.47,7,14058
461,Patricia,Jones,So,0.97,75,10418
462,Sherri,Hauser,Jr,0.61,63,17524
463,Nicholas,Warren,Sr,2.35,24,3164
464,Gina,Kay,Jr,2.19,80,13550
465,Alan,Weeks,Jr,0.93,24,2905
466,Clifford,Klein,So,2.57,32,1005
467,Laurie,Rosenthal,Sr,2.55,49,12328
468,Erik,Adams,Fr,2.27,51,13446
469,Sherry,Godwin,Sr,1.58,2,16033
470,Cindy,Lester,Fr,3.28,55,3561
471,Jeffrey,Allen,Fr,1.85,39,3441
472,Rose,Ennis,Jr,3.14,49,9149
473,Bryan,Proctor,Jr,1.25,56,18364
474,Ann,Glass,Fr,2.79,60,16255
475,Jill,Carroll,Fr,0.28,67,20778
476,Ken,Yu,Fr,0.91,42,12576
477,Shawn,O'Neal,Fr,3.91,81,8624
478,Greg,Proctor,So,0.94,61,24150
479,Bryan,Buckley,Jr,3.88,12,19152
480,Matthew,McCarthy,Jr,3.84,73,12960
481,Ruby,Barton,So,2.37,17,2168
482,Christian,Carver,Sr,3.26,6,6110
483,Louise,Jain,Fr,1.86,7,19071
484,Ronald,Griffin,Sr,0.53,18,11565
485,Audrey,Hudson,Sr,0.31,33,5433
486,Carl,Rosen,Fr,3.72,10,14305
487,Gary,Park,Fr,0.39,35,12276
488,Clara,Sykes,Sr,3.58,8,15574
489,Alfred,Wilcox,Jr,1.79,28,17851
490,Alfred,Parrott,So,2.27,57,22432
491,Eva,Morse,So,0.78,41,16899
492,Erin,O'Brien,Fr,2.80,34,1791
493,Malcolm,Buckley,Fr,1.64,11,3280
494,Vanessa,Dalton,Sr,2.67,25,18429
495,Virginia,Stern,Fr,3.72,26,13459
496,Veronica,Weiner,Jr,2.04,5,7330
497,Suzanne,Starr,So,1.04,71,20783
498,Albert,Waters,Jr,1.56,26,5248
499,Linda,Hutchinson,Jr,1.59,64,7572
500,Dale,Reilly,Fr,2.00,66,9018
501,Jim,McCoy,Jr,3.97,2,8328
502,Cecil,Bean,So,1.83,49,20099
503,Eileen,McDowell,Sr,0.55,79,3848
504,Charlotte,Knowles,Fr,2.61,22,19987
505,Norman,Barbour,Jr,2.23,43,12484
506,Kevin,Dickerson,Sr,1.97,33,5108
507,Veronica,Adams,Sr,1.51,63,21150
508,Cynthia,Cooper,Fr,2.56,4,3239
509,Anne,Jernigan,Sr,1.12,47,22836
510,Beverly,Grady,So,3.37,67,22984
511,Mitchell,Bryan,Jr,0.92,15,8303
512,Tim,Beck,Jr,3.89,75,8609
513,Courtney,Lang,Fr,2.41,25,19362
514,Vickie,Cunningham,So,1.42,5,22142
515,Christine,Freedman,So,1.53,57,24845
516,Edna,Winstead,Jr,3.28,81,260
517,Kelly,Lancaster,Fr,3.75,73,22041
518,Leonard,Arnold,Sr,2.80,27,4172
519,Veronica,Vaughn,Jr,1.47,34,24562
520,Lorraine,Fischer,Sr,1.29,76,19084
521,Fred,Dorsey,So,3.67,28,15451
522,Carrie,Hill,Sr,3.19,55,17930
523,Meredith,Patrick,Jr,3.08,62,4888
524,Nancy,Stroud,Sr,3.91,43,6738
525,Ernest,Dougherty,So,2.23,78,806
526,Karl,Shore,Sr,2.24,29,15882
527,Raymond,Cherry,Sr,3.28,48,10890
528,William,Burke,Jr,1.09,31,16216
529,Charlie,Beasley,Jr,3.57,68,1305
530,Judith,Tate,Fr,1.09,67,10707
531,Carrie,Knox,Fr,0.73,31,12198
532,Heather,Hahn,Sr,1.32,66,14404
533,Christina,Grimes,Fr,0.70,74,10592
534,Frederick,Blackburn,Fr,1.24,36,21829
535,Joann,Doyle,Fr,2.95,66,20976
536,Timothy,Woodruff,Jr,0.74,80,7250
537,Jason,Arthur,Jr,1.73,19,14736
538,Ted,Schneider,Sr,2.46,15,8875
539,Albert,Riley,Jr,1.94,76,14848
540,Jeff,Marshall,Jr,3.97,62,19205
541,Alice,Durham,Jr,2.18,15,12290
542,Cathy,Love,Fr,0.88,40,5117
543,Johnny,Poole,Jr,0.24,69,19742
544,Dawn,Duke,Jr,0.83,8,17706
545,Matthew,Reddy,Fr,1.22,21,868
546,Shannon,Kim,So,0.59,41,18625
547,Gladys,Dale,Sr,2.80,57,22592
548,Priscilla,Spears,So,2.98,22,10091
549,Joann,Chang,Jr,3.33,59,10353
550,Cecil,Abrams,So,0.15,59,23201
551,Scott,Herbert,Fr,1.38,78,10339
552,Tara,Coleman,Fr,0.46,6,13074
553,Stacy,Wells,So,1.47,11,16708
554,Elisabeth,Barker,So,2.74,48,16549
555,Charlotte,Berg,Sr,1.78,80,24277
556,Josephine,Carlton,Fr,1.09,50,1023
557,Peter,Noble,Sr,2.41,30,6570
558,Marjorie,Campbell,Sr,0.70,3,5193
559,Russell,Wolf,Jr,2.24,79,14897
560,Dale,Olson,Jr,2.06,29,22162
561,Phyllis,Hill,So,3.77,66,10070
562,Clyde,Reed,Fr,0.58,16,11056
563,Lillian,Dickson,Jr,0.80,38,19082
564,Kent,Vaughan,Sr,0.73,51,7225
565,Melissa,Anthony,Jr,2.52,72,3662
566,Eric,Willard,Fr,3.69,69,11441
567,Christopher,Myers,So,1.49,40,20297
568,Teresa,McCall,Sr,3.78,33,17197
569,Kenneth,Hill,So,1.73,60,21054
570,Troy,Hoyle,Fr,3.19,5,20773
571,Barbara,Stein,Jr,3.24,2,12427
572,Lynne,Hester,Fr,0.63,32,20697
573,Sean,Singer,Fr,0.36,74,24864
574,Melvin,Shapiro,Sr,0.23,31,13019
575,Matthew,Stone,So,0.48,64,18984
576,Gretchen,Montgomery,Jr,1.63,27,6388
577,Marshall,Pope,Jr,1.03,82,5352
578,Anthony,Welsh,So,2.99,21,23051
579,Elaine,Kennedy,Fr,1.99,57,5230
580,Eddie,Golden,Sr,2.79,55,17809
581,Tammy,Carlton,So,3.65,23,2164
